Check Item Label,Calculated Value,Calculated Unit,Status,Source Document Label,Source Value,Source Unit,Source Page,Confidence,AI Reasoning
ピーク速度圧,1780.0,N/m²,Approved,ピーク速度圧 qp,1780.0,N/m²,3,0.95,ファイルAの「ピーク速度圧」の値1780 N/m²と単位が、ファイルBの「ピーク速度圧 qp」の値1780 N/m²と完全に一致しました。ファイルAのsource_hint「荷重指針 式(7.8) H=10m」もファイルBのcontextと一致しています。
風力係数（壁面）,1.2,─,Approved,閉鎖型（矩形）総合（壁面） (Cf),1.2,─,3,0.95,ファイルAの「風力係数（壁面）」の値1.2と単位が、ファイルBの「閉鎖型（矩形）総合（壁面） (Cf)」の値1.2と完全に一致しました。ファイルAのsource_hint「荷重指針 表7.3 閉鎖型建物」もファイルBのラベルとcontextと一致しています。
SN400B 降伏点,235.0,N/mm²,Mismatch,,,,,0.5,ファイルBの参照データリストには、SN400Bの降伏点に関する直接的な数値データが見つかりませんでした。ファイルAのsource_hint「令90条 表1」に該当する具体的な鋼材許容応力度の表はファイルBには含まれていません。
SN400B 引張強さ,400.0,N/mm²,Mismatch,,,,,0.5,ファイルBの参照データリストには、SN400Bの引張強さに関する直接的な数値データが見つかりませんでした。ファイルAのsource_hint「令90条 表1」に該当する具体的な鋼材許容応力度の表はファイルBには含まれていません。
SN400B 長期許容応力度,156.0,N/mm²,Mismatch,,,,,0.5,ファイルBの参照データリストには、SN400Bの長期許容応力度に関する直接的な数値データが見つかりませんでした。ファイルAのsource_hint「令90条 表1」に該当する具体的な鋼材許容応力度の表はファイルBには含まれていません。
SN490B 降伏点,325.0,N/mm²,Mismatch,,,,,0.5,ファイルBの参照データリストには、SN490Bの降伏点に関する直接的な数値データが見つかりませんでした。ファイルAのsource_hint「令90条 表1」に該当する具体的な鋼材許容応力度の表はファイルBには含まれていません。
SN490B 引張強さ,490.0,N/mm²,Mismatch,,,,,0.5,ファイルBの参照データリストには、SN490Bの引張強さに関する直接的な数値データが見つかりませんでした。ファイルAのsource_hint「令90条 表1」に該当する具体的な鋼材許容応力度の表はファイルBには含まれていません。
SN490B 長期許容応力度,215.0,N/mm²,Mismatch,,,,,0.5,ファイルBの参照データリストには、SN490Bの長期許容応力度に関する直接的な数値データが見つかりませんでした。ファイルAのsource_hint「令90条 表1」に該当する具体的な鋼材許容応力度の表はファイルBには含まれていません。
SS400 降伏点,235.0,N/mm²,Mismatch,,,,,0.5,ファイルBの参照データリストには、SS400の降伏点に関する直接的な数値データが見つかりませんでした。ファイルAのsource_hint「令90条 表1」に該当する具体的な鋼材許容応力度の表はファイルBには含まれていません。
SS400 引張強さ,400.0,N/mm²,Mismatch,,,,,0.5,ファイルBの参照データリストには、SS400の引張強さに関する直接的な数値データが見つかりませんでした。ファイルAのsource_hint「令90条 表1」に該当する具体的な鋼材許容応力度の表はファイルBには含まれていません。
SS400 長期許容応力度,156.0,N/mm²,Mismatch,,,,,0.5,ファイルBの参照データリストには、SS400の長期許容応力度に関する直接的な数値データが見つかりませんでした。ファイルAのsource_hint「令90条 表1」に該当する具体的な鋼材許容応力度の表はファイルBには含まれていません。
